1,Empleado_1,1519.59,1431.5,989.34,1667.03,1166.91,892.72,1892.25,1232.23,1018.35,1877.79,1500.8,1245.09,417,177,158,173,151,217,203,164,205,188,192,158
2,Empleado_2,1889.14,1638.56,886.45,1493.54,1754.24,846.05,1578.73,1930.93,1550.08,1359.8,957.34,1259.45,555,168,166,176,182,199,206,218,161,162,155,167
3,Empleado_3,1490.84,973.23,1314.29,1929.03,1016.27,1689.83,1946.67,1006.81,1884.36,1814.06,1440.27,1026.97,696,195,171,178,199,181,208,215,159,190,206,160
4,Empleado_4,1679.78,1133.26,1432.16,1503.54,1826.82,1636.2,1763.38,1962.54,1672.43,1048.91,1303.58,1502.03,195,193,185,164,202,198,207,192,200,163,207,156
5,Empleado_5,1298.58,955.28,1537.12,1570.49,1841.62,1366.13,1454.93,1056.25,1509.8,893.0,1104.53,1704.96,166,167,176,173,164,217,197,152,214,198,185,165
6,Empleado_6,1262.06,1090.83,1478.24,1953.0,1846.41,1876.6,1283.74,1349.6,1929.83,1958.24,1249.84,1286.62,208,186,178,205,164,167,161,196,217,212,196,161
7,Empleado_7,1130.49,1934.65,1544.81,1057.62,826.55,1369.18,937.32,989.45,1280.6,1802.14,1234.72,1716.29,189,157,190,168,189,192,171,212,211,176,218,186
8,Empleado_8,1900.27,1909.05,1973.35,1431.51,1915.88,983.77,1127.33,1463.56,969.54,1145.19,1269.33,1403.05,164,154,193,207,198,194,213,205,151,153,194,209
9,Empleado_9,1755.23,1240.22,1124.11,1102.62,1356.0,1064.36,1790.05,1968.94,1509.48,1312.95,1680.47,1045.21,162,188,218,191,160,190,189,197,197,168,158,209
10,Empleado_10,1320.24,1362.26,1867.8,966.34,1828.57,1437.65,1526.51,1497.35,1330.63,806.69,1070.63,1346.86,173,167,200,195,215,157,176,192,179,208,161,154
11,Empleado_11,1161.98,1425.13,1625.87,1135.72,1775.73,1682.7,1740.16,1852.38,944.13,856.51,858.95,1782.33,162,210,180,208,216,172,190,166,158,206,186,185
12,Empleado_12,1798.89,1683.39,982.94,1324.28,1799.33,1282.68,1658.72,1530.85,1617.36,1333.27,876.22,1138.7,184,159,210,218,182,184,206,150,178,185,207,206
13,Empleado_13,1867.86,1160.85,1704.11,1685.23,1973.23,1596.1,1880.06,1081.23,1589.83,1791.13,1481.76,1730.29,181,172,185,219,178,176,199,156,157,170,196,186
14,Empleado_14,1316.93,1251.38,1181.04,1056.2,1795.47,1786.06,1918.18,1706.5,815.49,1242.74,1510.87,1702.57,214,158,190,204,194,214,174,183,159,187,194,198
15,Empleado_15,1937.69,1565.45,1846.27,1295.43,1804.04,1552.27,986.84,1470.84,1729.52,954.51,1344.14,962.44,209,195,200,184,180,213,161,191,175,161,166,177
16,Empleado_16,1106.16,1894.97,1713.28,1535.65,1250.88,1297.62,1282.83,869.82,1448.68,1574.57,1178.38,1323.66,214,168,151,188,187,201,176,220,172,163,213,184
17,Empleado_17,1967.16,1697.28,1518.42,1352.72,1706.38,874.18,1043.96,1135.7,1415.44,1085.24,1631.61,941.61,207,158,182,198,190,159,217,201,171,207,153,212
18,Empleado_18,983.56,1996.19,999.05,1472.69,876.05,1791.85,1022.4,1052.93,1179.12,1330.98,1737.16,1742.03,204,168,206,161,209,186,165,211,212,176,178,161
19,Empleado_19,1744.07,1913.41,1964.31,1411.59,1300.49,1804.39,1839.49,1758.75,1015.32,1131.62,1874.08,1237.51,206,181,151,174,170,181,212,171,217,195,176,192
20,Empleado_20,1179.29,1834.89,1758.65,852.19,1633.94,978.51,864.25,1987.98,1614.29,1442.0,1673.43,1517.47,169,212,196,182,219,204,153,199,178,197,163,191
21,Empleado_21,1565.99,1746.95,1146.66,1126.47,1500.59,984.07,1730.4,1887.59,1164.57,1654.04,1366.19,1600.29,155,193,154,197,179,153,192,153,200,200,219,167
22,Empleado_22,1628.89,1043.08,1443.75,1131.38,1892.89,905.69,1893.94,907.86,1645.18,1813.88,1889.69,855.04,215,206,179,161,167,162,173,219,175,158,177,171
23,Empleado_23,1270.96,813.29,836.74,1876.68,1864.93,1453.06,1259.54,1258.03,1374.66,1880.02,1218.33,1632.95,150,200,158,174,151,179,171,164,194,194,175,181
24,Empleado_24,1903.0,1446.2,1696.18,1761.61,1241.11,1163.12,1187.06,896.41,1919.86,1239.12,1059.48,1654.83,178,166,189,150,214,183,193,160,200,197,152,185
25,Empleado_25,1239.79,1816.84,1331.96,1232.01,878.49,1129.63,1093.05,1433.4,865.98,1647.07,1409.72,1950.42,197,160,181,163,206,207,197,202,187,204,161,172
26,Empleado_26,1765.97,812.48,1540.31,1161.01,1849.42,1795.12,1043.55,1447.63,1397.43,1238.62,1283.52,1749.26,215,186,212,204,155,186,175,180,190,182,182,214
27,Empleado_27,1692.68,1242.95,1598.44,1051.98,1670.91,1659.47,1219.38,1933.65,1008.58,1726.28,1431.28,1031.9,205,190,190,211,220,153,150,162,155,155,186,194
28,Empleado_28,1975.44,931.04,897.54,985.13,1193.51,1355.73,818.3,1988.28,1446.77,1461.11,1801.65,1205.62,212,206,180,190,172,158,217,184,172,179,155,150
29,Empleado_29,1795.99,1811.95,1087.02,1898.05,1008.2,1042.12,963.16,1232.57,984.94,800.48,1743.56,1507.35,154,180,161,178,189,205,203,162,201,205,176,162
30,Empleado_30,1556.95,1829.41,1227.5,1713.25,1735.09,1878.73,1593.05,1944.41,897.11,1564.13,1043.52,1702.04,185,214,199,181,219,163,166,176,210,159,167,197
